MET: 00:00:00:000 | Thrust:  0.00 | Chamber Pres: 15.70 | Throttle: 5.00 | Total Impulse: 0.00
MET: 00:00:05:023 | Thrust:  0.00 | Chamber Pres: 16.55 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:05:109 | Thrust:  0.00 | Chamber Pres: 16.64 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:05:207 | Thrust:  0.00 | Chamber Pres: 16.54 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:05:301 | Thrust:  0.00 | Chamber Pres: 16.61 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:05:393 | Thrust:  0.00 | Chamber Pres: 16.67 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:05:481 | Thrust:  0.00 | Chamber Pres: 16.87 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:05:568 | Thrust:  0.01 | Chamber Pres: 17.15 | Throttle: 65.00 | Total Impulse: 0.91
MET: 00:00:05:653 | Thrust:  0.00 | Chamber Pres: 13.60 | Throttle: 85.00 | Total Impulse: 0.91
MET: 00:00:05:756 | Thrust:  0.00 | Chamber Pres: 12.99 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:05:857 | Thrust:  0.00 | Chamber Pres: 17.70 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:05:972 | Thrust:  0.00 | Chamber Pres: 17.72 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:089 | Thrust:  0.00 | Chamber Pres: 17.68 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:192 | Thrust:  0.00 | Chamber Pres: 17.74 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:291 | Thrust:  0.00 | Chamber Pres: 17.70 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:369 | Thrust:  0.00 | Chamber Pres: 17.61 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:451 | Thrust:  0.00 | Chamber Pres: 17.61 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:538 | Thrust:  0.00 | Chamber Pres: 17.67 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:624 | Thrust:  0.00 | Chamber Pres: 17.62 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:753 | Thrust:  0.00 | Chamber Pres: 17.63 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:852 | Thrust:  0.00 | Chamber Pres: 17.62 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:06:955 | Thrust:  0.00 | Chamber Pres: 17.66 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:07:104 | Thrust:  0.00 | Chamber Pres: 17.63 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:07:230 | Thrust:  0.00 | Chamber Pres: 17.63 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:07:357 | Thrust:  0.00 | Chamber Pres: 17.59 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:07:503 | Thrust:  0.00 | Chamber Pres: 17.61 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:07:600 | Thrust:  0.00 | Chamber Pres: 17.55 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:07:692 | Thrust:  0.00 | Chamber Pres: 17.45 | Throttle: 100.00 | Total Impulse: 0.91
MET: 00:00:07:813 | Thrust:  0.06 | Chamber Pres: 17.50 | Throttle: 100.00 | Total Impulse: 0.92
MET: 00:00:07:945 | Thrust:  0.09 | Chamber Pres: 17.44 | Throttle: 100.00 | Total Impulse: 0.93
MET: 00:00:08:077 | Thrust:  0.00 | Chamber Pres: 16.24 | Throttle: 90.00 | Total Impulse: 0.93
MET: 00:00:08:264 | Thrust:  0.00 | Chamber Pres: 13.39 | Throttle: 70.00 | Total Impulse: 0.93
MET: 00:00:08:389 | Thrust:  0.00 | Chamber Pres: 14.88 | Throttle: 60.00 | Total Impulse: 0.93
MET: 00:00:08:523 | Thrust:  0.00 | Chamber Pres: 17.67 | Throttle: 60.00 | Total Impulse: 0.93
MET: 00:00:08:655 | Thrust:  0.00 | Chamber Pres: 17.72 | Throttle: 60.00 | Total Impulse: 0.93
MET: 00:00:08:803 | Thrust:  0.00 | Chamber Pres: 12.10 | Throttle: 40.00 | Total Impulse: 0.93
MET: 00:00:08:894 | Thrust:  0.00 | Chamber Pres: 16.84 | Throttle: 40.00 | Total Impulse: 0.93
MET: 00:00:09:001 | Thrust:  0.00 | Chamber Pres: 17.89 | Throttle: 40.00 | Total Impulse: 0.93
MET: 00:00:09:139 | Thrust:  0.00 | Chamber Pres: 12.41 | Throttle: 10.00 | Total Impulse: 0.93
MET: 00:00:09:271 | Thrust:  0.07 | Chamber Pres: 14.72 | Throttle: 10.00 | Total Impulse: 0.94
MET: 00:00:09:394 | Thrust:  0.06 | Chamber Pres: 17.88 | Throttle: 10.00 | Total Impulse: 0.94
MET: 00:00:09:519 | Thrust:  0.00 | Chamber Pres: 16.78 | Throttle: 0.00 | Total Impulse: 0.94
MET: 00:00:09:635 | Thrust:  0.00 | Chamber Pres: 15.15 | Throttle: 0.00 | Total Impulse: 0.94
MET: 00:00:09:740 | Thrust:  0.00 | Chamber Pres: 17.06 | Throttle: 0.00 | Total Impulse: 0.94
MET: 00:00:09:865 | Thrust:  0.00 | Chamber Pres: 17.08 | Throttle: 0.00 | Total Impulse: 0.94
MET: 00:00:09:987 | Thrust:  0.00 | Chamber Pres: 17.01 | Throttle: 0.00 | Total Impulse: 0.94
MET: 00:00:10:120 | Thrust:  0.00 | Chamber Pres: 16.98 | Throttle: 0.00 | Total Impulse: 0.94
MET: 00:00:10:241 | Thrust:  0.00 | Chamber Pres: 16.93 | Throttle: 0.00 | Total Impulse: 0.94
MET: 00:00:10:354 | Thrust:  0.28 | Chamber Pres: 16.76 | Throttle: 0.00 | Total Impulse: 0.97
MET: 00:00:10:471 | Thrust:  0.65 | Chamber Pres: 16.68 | Throttle: 0.00 | Total Impulse: 1.04
MET: 00:00:10:608 | Thrust:  0.72 | Chamber Pres: 16.71 | Throttle: 0.00 | Total Impulse: 1.11
MET: 00:00:10:720 | Thrust:  0.64 | Chamber Pres: 16.66 | Throttle: 0.00 | Total Impulse: 1.17
MET: 00:00:10:841 | Thrust:  0.31 | Chamber Pres: 16.55 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:10:943 | Thrust:  0.00 | Chamber Pres: 16.49 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:061 | Thrust:  0.00 | Chamber Pres: 16.55 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:193 | Thrust:  0.00 | Chamber Pres: 16.50 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:317 | Thrust:  0.00 | Chamber Pres: 16.59 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:423 | Thrust:  0.00 | Chamber Pres: 16.63 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:556 | Thrust:  0.00 | Chamber Pres: 16.61 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:665 | Thrust:  0.00 | Chamber Pres: 16.58 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:797 | Thrust:  0.00 | Chamber Pres: 16.43 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:11:927 | Thrust:  0.00 | Chamber Pres: 16.43 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:12:053 | Thrust:  0.00 | Chamber Pres: 16.40 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:12:239 | Thrust:  0.00 | Chamber Pres: 16.32 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:12:391 | Thrust:  0.00 | Chamber Pres: 16.21 | Throttle: 0.00 | Total Impulse: 1.20
MET: 00:00:12:538 | Thrust:  0.02 | Chamber Pres: 16.17 | Throttle: 0.00 | Total Impulse: 1.21
MET: 00:00:12:714 | Thrust:  0.48 | Chamber Pres: 16.19 | Throttle: 0.00 | Total Impulse: 1.25
MET: 00:00:12:861 | Thrust:  0.49 | Chamber Pres: 16.12 | Throttle: 0.00 | Total Impulse: 1.30
MET: 00:00:13:006 | Thrust:  0.56 | Chamber Pres: 16.02 | Throttle: 0.00 | Total Impulse: 1.36
MET: 00:00:13:176 | Thrust:  0.11 | Chamber Pres: 16.00 | Throttle: 0.00 | Total Impulse: 1.37
MET: 00:00:13:361 | Thrust:  0.00 | Chamber Pres: 16.32 | Throttle: 0.00 | Total Impulse: 1.37
MET: 00:00:13:519 | Thrust:  0.00 | Chamber Pres: 16.24 | Throttle: 0.00 | Total Impulse: 1.37
MET: 00:00:13:642 | Thrust:  0.00 | Chamber Pres: 16.15 | Throttle: 0.00 | Total Impulse: 1.37
MET: 00:00:13:742 | Thrust:  0.00 | Chamber Pres: 16.15 | Throttle: 0.00 | Total Impulse: 1.37
MET: 00:00:13:838 | Thrust:  0.00 | Chamber Pres: 16.18 | Throttle: 0.00 | Total Impulse: 1.37
MET: 00:00:13:918 | Thrust:  0.46 | Chamber Pres: 16.03 | Throttle: 0.00 | Total Impulse: 1.42
MET: 00:00:14:005 | Thrust:  0.27 | Chamber Pres: 16.00 | Throttle: 0.00 | Total Impulse: 1.45
MET: 00:00:14:092 | Thrust:  0.00 | Chamber Pres: 15.95 | Throttle: 0.00 | Total Impulse: 1.45
MET: 00:00:14:174 | Thrust:  0.00 | Chamber Pres: 15.96 | Throttle: 0.00 | Total Impulse: 1.45
MET: 00:00:14:258 | Thrust:  0.00 | Chamber Pres: 15.88 | Throttle: 0.00 | Total Impulse: 1.45
MET: 00:00:14:342 | Thrust:  0.00 | Chamber Pres: 15.82 | Throttle: 0.00 | Total Impulse: 1.45
MET: 00:00:14:420 | Thrust:  0.00 | Chamber Pres: 15.82 | Throttle: 0.00 | Total Impulse: 1.45
MET: 00:00:14:515 | Thrust:  0.28 | Chamber Pres: 15.82 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:14:637 | Thrust:  0.00 | Chamber Pres: 15.71 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:14:717 | Thrust:  0.00 | Chamber Pres: 15.63 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:14:800 | Thrust:  0.00 | Chamber Pres: 15.65 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:14:873 | Thrust:  0.00 | Chamber Pres: 15.67 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:14:955 | Thrust:  0.00 | Chamber Pres: 15.99 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:15:041 | Thrust:  0.00 | Chamber Pres: 16.18 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:15:123 | Thrust:  0.00 | Chamber Pres: 16.20 | Throttle: 0.00 | Total Impulse: 1.47
MET: 00:00:15:207 | Thrust:  0.19 | Chamber Pres: 16.23 | Throttle: 0.00 | Total Impulse: 1.49
MET: 00:00:15:302 | Thrust:  0.52 | Chamber Pres: 16.09 | Throttle: 0.00 | Total Impulse: 1.55
MET: 00:00:15:403 | Thrust:  1.29 | Chamber Pres: 16.09 | Throttle: 0.00 | Total Impulse: 1.68
MET: 00:00:15:520 | Thrust:  1.46 | Chamber Pres: 16.07 | Throttle: 0.00 | Total Impulse: 1.82
MET: 00:00:15:621 | Thrust:  1.20 | Chamber Pres: 15.98 | Throttle: 0.00 | Total Impulse: 1.94
MET: 00:00:15:733 | Thrust:  0.71 | Chamber Pres: 15.91 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:15:852 | Thrust:  0.00 | Chamber Pres: 15.95 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:15:956 | Thrust:  0.00 | Chamber Pres: 15.98 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:16:068 | Thrust:  0.00 | Chamber Pres: 15.93 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:16:181 | Thrust:  0.06 | Chamber Pres: 15.88 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:16:302 | Thrust:  0.00 | Chamber Pres: 15.84 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:16:404 | Thrust:  0.00 | Chamber Pres: 15.90 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:16:517 | Thrust:  0.00 | Chamber Pres: 15.82 | Throttle: 0.00 | Total Impulse: 2.02
MET: 00:00:16:604 | Thrust:  0.09 | Chamber Pres: 15.73 | Throttle: 0.00 | Total Impulse: 2.03
MET: 00:00:16:678 | Thrust:  0.38 | Chamber Pres: 15.77 | Throttle: 0.00 | Total Impulse: 2.07
MET: 00:00:16:757 | Thrust:  0.80 | Chamber Pres: 15.77 | Throttle: 0.00 | Total Impulse: 2.15
MET: 00:00:16:838 | Thrust:  1.17 | Chamber Pres: 15.68 | Throttle: 0.00 | Total Impulse: 2.27
MET: 00:00:16:918 | Thrust:  1.11 | Chamber Pres: 15.61 | Throttle: 0.00 | Total Impulse: 2.38
MET: 00:00:17:003 | Thrust:  0.43 | Chamber Pres: 15.63 | Throttle: 0.00 | Total Impulse: 2.42
MET: 00:00:17:086 | Thrust:  0.00 | Chamber Pres: 15.56 | Throttle: 0.00 | Total Impulse: 2.42
MET: 00:00:17:160 | Thrust:  0.00 | Chamber Pres: 15.53 | Throttle: 0.00 | Total Impulse: 2.42
MET: 00:00:17:237 | Thrust:  0.00 | Chamber Pres: 15.43 | Throttle: 0.00 | Total Impulse: 2.42
MET: 00:00:17:307 | Thrust:  0.00 | Chamber Pres: 15.42 | Throttle: 0.00 | Total Impulse: 2.42
MET: 00:00:17:386 | Thrust:  0.24 | Chamber Pres: 15.48 | Throttle: 0.00 | Total Impulse: 2.45
MET: 00:00:17:458 | Thrust:  0.37 | Chamber Pres: 15.65 | Throttle: 0.00 | Total Impulse: 2.49
MET: 00:00:17:536 | Thrust:  0.22 | Chamber Pres: 15.37 | Throttle: 0.00 | Total Impulse: 2.51
MET: 00:00:17:617 | Thrust:  0.00 | Chamber Pres: 15.32 | Throttle: 0.00 | Total Impulse: 2.51
MET: 00:00:17:690 | Thru
