MET: 00:00:07:628 | Thrust:  0.60 | Chamber Pres:  2.29 | Throttle: 0.00 | Total Impulse: -1.19
MET: 00:00:07:679 | Thrust:  0.60 | Chamber Pres:  2.11 | Throttle: 0.00 | Total Impulse: -1.18
MET: 00:00:07:726 | Thrust:  0.60 | Chamber Pres:  2.22 | Throttle: 0.00 | Total Impulse: -1.17
MET: 00:00:07:777 | Thrust:  0.41 | Chamber Pres:  2.03 | Throttle: 0.00 | Total Impulse: -1.16
MET: 00:00:07:824 | Thrust:  0.41 | Chamber Pres:  2.20 | Throttle: 0.00 | Total Impulse: -1.15
MET: 00:00:07:872 | Thrust: -0.11 | Chamber Pres:  2.10 | Throttle: 0.00 | Total Impulse: -1.15
MET: 00:00:07:921 | Thrust: -0.11 | Chamber Pres:  2.16 | Throttle: 0.00 | Total Impulse: -1.15
MET: 00:00:07:969 | Thrust:  0.19 | Chamber Pres:  2.08 | Throttle: 0.00 | Total Impulse: -1.15
MET: 00:00:08:015 | Thrust:  0.19 | Chamber Pres:  2.10 | Throttle: 0.00 | Total Impulse: -1.14
MET: 00:00:08:062 | Thrust:  0.19 | Chamber Pres:  2.03 | Throttle: 0.00 | Total Impulse: -1.14
MET: 00:00:08:111 | Thrust:  0.79 | Chamber Pres:  2.07 | Throttle: 0.00 | Total Impulse: -1.12
MET: 00:00:08:157 | Thrust:  0.79 | Chamber Pres:  2.04 | Throttle: 0.00 | Total Impulse: -1.10
MET: 00:00:08:205 | Thrust:  0.98 | Chamber Pres:  2.01 | Throttle: 0.00 | Total Impulse: -1.07
MET: 00:00:08:251 | Thrust:  0.98 | Chamber Pres:  1.98 | Throttle: 0.00 | Total Impulse: -1.05
MET: 00:00:08:299 | Thrust:  1.15 | Chamber Pres:  2.00 | Throttle: 0.00 | Total Impulse: -1.02
MET: 00:00:08:346 | Thrust:  1.15 | Chamber Pres:  2.03 | Throttle: 0.00 | Total Impulse: -0.99
MET: 00:00:08:392 | Thrust:  1.15 | Chamber Pres:  1.98 | Throttle: 0.00 | Total Impulse: -0.97
MET: 00:00:08:443 | Thrust:  0.93 | Chamber Pres:  1.98 | Throttle: 0.00 | Total Impulse: -0.94
MET: 00:00:08:489 | Thrust:  0.93 | Chamber Pres:  1.87 | Throttle: 0.00 | Total Impulse: -0.92
MET: 00:00:08:541 | Thrust:  0.75 | Chamber Pres:  1.90 | Throttle: 0.00 | Total Impulse: -0.90
MET: 00:00:08:594 | Thrust:  0.75 | Chamber Pres:  1.83 | Throttle: 0.00 | Total Impulse: -0.88
MET: 00:00:08:643 | Thrust:  0.75 | Chamber Pres:  1.79 | Throttle: 0.00 | Total Impulse: -0.87
MET: 00:00:08:693 | Thrust:  0.72 | Chamber Pres:  1.83 | Throttle: 0.00 | Total Impulse: -0.85
MET: 00:00:08:742 | Thrust:  0.72 | Chamber Pres:  1.88 | Throttle: 0.00 | Total Impulse: -0.83
MET: 00:00:08:792 | Thrust:  0.48 | Chamber Pres:  1.78 | Throttle: 0.00 | Total Impulse: -0.82
MET: 00:00:08:844 | Thrust:  0.48 | Chamber Pres:  1.83 | Throttle: 0.00 | Total Impulse: -0.81
MET: 00:00:08:896 | Thrust:  0.30 | Chamber Pres:  1.67 | Throttle: 0.00 | Total Impulse: -0.80
MET: 00:00:08:943 | Thrust:  0.30 | Chamber Pres:  2.14 | Throttle: 0.00 | Total Impulse: -0.79
MET: 00:00:08:992 | Thrust:  0.30 | Chamber Pres:  1.92 | Throttle: 0.00 | Total Impulse: -0.79
MET: 00:00:09:043 | Thrust:  0.19 | Chamber Pres:  2.12 | Throttle: 0.00 | Total Impulse: -0.78
MET: 00:00:09:096 | Thrust:  0.19 | Chamber Pres:  1.88 | Throttle: 0.00 | Total Impulse: -0.78
MET: 00:00:09:149 | Thrust:  0.14 | Chamber Pres:  2.04 | Throttle: 0.00 | Total Impulse: -0.77
MET: 00:00:09:204 | Thrust:  0.14 | Chamber Pres:  1.82 | Throttle: 0.00 | Total Impulse: -0.77
MET: 00:00:09:254 | Thrust:  0.23 | Chamber Pres:  1.99 | Throttle: 0.00 | Total Impulse: -0.76
MET: 00:00:09:306 | Thrust:  0.23 | Chamber Pres:  1.82 | Throttle: 0.00 | Total Impulse: -0.76
MET: 00:00:09:358 | Thrust:  0.23 | Chamber Pres:  2.02 | Throttle: 0.00 | Total Impulse: -0.75
MET: 00:00:09:405 | Thrust:  0.18 | Chamber Pres:  1.75 | Throttle: 0.00 | Total Impulse: -0.75
MET: 00:00:09:454 | Thrust:  0.18 | Chamber Pres:  1.93 | Throttle: 0.00 | Total Impulse: -0.74
MET: 00:00:09:498 | Thrust:  0.37 | Chamber Pres:  1.69 | Throttle: 0.00 | Total Impulse: -0.74
MET: 00:00:09:545 | Thrust:  0.37 | Chamber Pres:  1.99 | Throttle: 0.00 | Total Impulse: -0.73
MET: 00:00:09:593 | Thrust:  0.59 | Chamber Pres:  1.64 | Throttle: 0.00 | Total Impulse: -0.71
MET: 00:00:09:651 | Thrust:  0.59 | Chamber Pres:  1.94 | Throttle: 0.00 | Total Impulse: -0.70
MET: 00:00:09:710 | Thrust:  0.59 | Chamber Pres:  1.61 | Throttle: 0.00 | Total Impulse: -0.68
MET: 00:00:09:768 | Thrust:  0.10 | Chamber Pres:  1.89 | Throttle: 0.00 | Total Impulse: -0.68
MET: 00:00:09:823 | Thrust:  0.10 | Chamber Pres:  1.62 | Throttle: 0.00 | Total Impulse: -0.68
MET: 00:00:09:878 | Thrust: -0.72 | Chamber Pres:  1.89 | Throttle: 0.00 | Total Impulse: -0.70
MET: 00:00:09:928 | Thrust: -0.72 | Chamber Pres:  1.60 | Throttle: 0.00 | Total Impulse: -0.71
MET: 00:00:09:975 | Thrust: -0.72 | Chamber Pres:  1.84 | Throttle: 0.00 | Total Impulse: -0.73
MET: 00:00:10:022 | Thrust: -1.18 | Chamber Pres:  1.57 | Throttle: 0.00 | Total Impulse: -0.76
MET: 00:00:10:070 | Thrust: -1.18 | Chamber Pres:  1.77 | Throttle: 0.00 | Total Impulse: -0.79
MET: 00:00:10:117 | Thrust: -1.06 | Chamber Pres:  1.61 | Throttle: 0.00 | Total Impulse: -0.81
MET: 00:00:10:163 | Thrust: -1.06 | Chamber Pres:  1.84 | Throttle: 0.00 | Total Impulse: -0.84
MET: 00:00:10:209 | Thrust: -0.53 | Chamber Pres:  1.56 | Throttle: 0.00 | Total Impulse: -0.85
MET: 00:00:10:258 | Thrust: -0.53 | Chamber Pres:  1.76 | Throttle: 0.00 | Total Impulse: -0.87
MET: 00:00:10:306 | Thrust: -0.53 | Chamber Pres:  1.56 | Throttle: 0.00 | Total Impulse: -0.88
MET: 00:00:10:353 | Thrust: -0.00 | Chamber Pres:  1.70 | Throttle: 0.00 | Total Impulse: -0.88
MET: 00:00:10:400 | Thrust: -0.00 | Chamber Pres:  1.48 | Throttle: 0.00 | Total Impulse: -0.88
MET: 00:00:10:445 | Thrust: -0.22 | Chamber Pres:  1.75 | Throttle: 0.00 | Total Impulse: -0.88
MET: 00:00:10:493 | Thrust: -0.22 | Chamber Pres:  1.59 | Throttle: 0.00 | Total Impulse: -0.89
MET: 00:00:10:542 | Thrust: -0.93 | Chamber Pres:  1.67 | Throttle: 0.00 | Total Impulse: -0.91
MET: 00:00:10:589 | Thrust: -0.93 | Chamber Pres:  1.56 | Throttle: 0.00 | Total Impulse: -0.93
MET: 00:00:10:640 | Thrust: -0.93 | Chamber Pres:  1.59 | Throttle: 0.00 | Total Impulse: -0.96
MET: 00:00:10:691 | Thrust: -0.86 | Chamber Pres:  1.52 | Throttle: 0.00 | Total Impulse: -0.98
MET: 00:00:10:741 | Thrust: -0.86 | Chamber Pres:  1.55 | Throttle: 0.00 | Total Impulse: -1.00
MET: 00:00:10:790 | Thrust: -0.39 | Chamber Pres:  1.54 | Throttle: 0.00 | Total Impulse: -1.01
MET: 00:00:10:842 | Thrust: -0.39 | Chamber Pres:  1.46 | Throttle: 0.00 | Total Impulse: -1.02
MET: 00:00:10:896 | Thrust: -0.15 | Chamber Pres:  1.41 | Throttle: 0.00 | Total Impulse: -1.02
MET: 00:00:10:943 | Thrust: -0.15 | Chamber Pres:  1.52 | Throttle: 0.00 | Total Impulse: -1.03
MET: 00:00:10:992 | Thrust: -0.15 | Chamber Pres:  1.46 | Throttle: 0.00 | Total Impulse: -1.03
MET: 00:00:11:038 | Thrust:  0.46 | Chamber Pres:  1.36 | Throttle: 0.00 | Total Impulse: -1.02
MET: 00:00:11:086 | Thrust:  0.46 | Chamber Pres:  1.41 | Throttle: 0.00 | Total Impulse: -1.01
MET: 00:00:11:134 | Thrust:  0.66 | Chamber Pres:  1.39 | Throttle: 0.00 | Total Impulse: -0.99
MET: 00:00:11:182 | Thrust:  0.66 | Chamber Pres:  1.41 | Throttle: 0.00 | Total Impulse: -0.97
MET: 00:00:11:229 | Thrust:  0.51 | Chamber Pres:  1.88 | Throttle: 0.00 | Total Impulse: -0.96
MET: 00:00:11:275 | Thrust:  0.51 | Chamber Pres:  2.02 | Throttle: 0.00 | Total Impulse: -0.95
MET: 00:00:11:324 | Thrust:  0.51 | Chamber Pres:  1.83 | Throttle: 0.00 | Total Impulse: -0.94
